0.108	-0.026	-0.16	-0.038	0.007	0.029	-0.156	0.088	0.022	0.048	0.0	0.02	0.016	-0.034	0.011	0.014	0.055	0.008	0.086	0.072	-0.074	-0.001	-0.086	-0.068	-0.082	-0.002	-0.055	-0.014	0.005	-0.019	0.068	-0.014	0.049	-0.05	0.031	0.052	-0.048	0.0	-0.046	0.017	-0.04	-0.017
0.154	-0.314	0.066	0.063	0.129	0.091	0.022	0.239	-0.088	0.178	0.131	-0.047	0.198	0.126	-0.071	0.025	0.004	0.104	0.256	0.11	0.047	0.151	-0.125	-0.098	0.022	0.064	-0.168	0.097	0.198	-0.391	-0.045	-0.004	0.166	0.15	0.172	-0.015	0.161	0.088	0.059	0.003	0.226	0.049
0.269	0.635	-0.126	0.137	0.218	0.268	0.144	0.661	-0.477	0.312	-0.189	0.118	0.089	0.226	0.109	0.259	0.13	0.071	0.292	0.28	0.234	-0.199	0.339	0.176	-0.281	0.395	0.329	0.197	-0.292	-0.033	-0.189	0.168	0.374	0.042	0.653	-0.433	0.376	0.072	0.511	0.748	-0.232	0.151
-0.089	0.098	0.299	-0.472	-0.871	-0.561	-0.195	-0.222	-0.217	-0.168	0.027	0.019	-0.482	-0.355	0.101	-0.066	-0.132	-0.216	-0.302	-0.379	-0.206	-0.159	-0.474	-0.245	-0.113	-0.144	-0.066	-0.316	0.21	-0.463	-0.208	-0.105	-0.174	-0.486	-0.59	0.004	-0.257	-0.373	0.209	-0.111	0.083	-0.038
0.145	0.028	0.069	-0.024	0.032	0.062	-0.022	0.11	0.0	0.087	0.012	0.006	0.136	-0.037	0.027	0.081	0.022	-0.049	0.046	0.084	0.106	0.038	-0.03	-0.055	-0.005	0.079	0.052	0.075	0.03	-0.021	0.051	0.057	0.131	0.062	0.117	0.066	-0.051	-0.088	-0.004	0.117	0.072	-0.02
-0.053	-0.514	0.05	-0.278	-0.015	-0.471	-0.164	-0.668	-0.216	-0.432	-0.483	0.47	-0.405	-0.558	0.179	0.209	0.013	0.168	-0.549	-0.135	-0.075	-0.016	0.019	-0.073	0.001	-0.4	-0.169	-0.198	0.23	0.167	0.315	-0.234	-0.251	0.12	0.146	-0.544	-0.263	-0.122	0.184	-0.224	-0.113	0.239
-0.016	0.091	0.088	0.03	-0.165	-0.242	0.071	-0.316	0.068	-0.308	-0.15	-0.129	-0.123	-0.189	-0.015	-0.126	0.006	0.025	-0.346	-0.162	-0.33	-0.352	0.016	-0.053	0.101	-0.2	0.034	-0.091	0.12	-0.219	0.126	0.062	-0.287	-0.287	-0.053	0.059	-0.447	0.013	0.049	-0.136	-0.009	-0.139
0.066	0.357	-0.364	-0.343	0.096	-0.425	0.437	-0.069	0.123	0.068	0.146	-0.008	-0.515	0.324	0.108	0.056	0.034	-0.511	-0.354	-0.046	-0.334	-0.563	0.46	0.122	-0.578	-0.553	-0.468	-0.622	0.151	0.039	-0.549	0.321	-0.174	0.163	-0.378	-0.341	-0.639	-0.072	-0.016	-0.66	0.138	-0.186
0.164	0.098	0.119	0.071	0.009	0.091	0.106	-0.099	0.086	0.101	0.132	0.034	0.017	0.009	0.072	0.034	0.088	0.107	-0.172	0.034	0.008	-0.17	0.007	0.077	0.069	0.066	0.03	0.006	-0.022	-0.023	0.034	0.071	0.066	-0.036	0.019	0.011	-0.05	-0.061	0.124	-0.024	0.078	0.008
-0.003	-0.085	-0.079	-0.319	0.037	0.244	-0.307	0.045	-0.081	-0.09	-0.124	-0.051	0.03	0.152	-0.339	-0.129	-0.3	-0.257	-0.146	0.103	-0.175	-0.049	0.014	-0.202	-0.032	-0.081	0.085	0.016	-0.53	0.086	-0.074	-0.428	-0.163	-0.254	-0.122	-0.105	0.268	-0.26	-0.28	-0.362	0.115	-0.16
